data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,ir,ir,ir,1.0,9,skga,ad2,0.29588911337506396,0.29745808905649684,0.2943201376936317,0.0031506543723973635,0,820,4888,4363,1162,820,6806,9251,1,820,1,342,1918
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,15,skga,ad2,0.1727736141469186,0.1735875071474385,0.17195972114639815,0.0011870373595178666,0,1069,5931,2317,1291,1069,7866,8248,1,1069,1,222,1935
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,gs,1.0,6,skga,ad2,0.00344148402559343,0.00688296805118686,0.0,0.00344148402559343,0,1201,5815,10131,1201,1201,6809,15946,10,1201,10,0,994
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,1,km,gs#0.75,gs,gs,0.75,11,skga,ad2,0.010087674625949214,0.010725177430592508,0.009450171821305841,0.0006497248025250355,0,1153,5708,1843,1164,1153,6725,7551,2,1153,2,11,1017
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,ir,ir,ir,1.0,7,skga,ad2,0.9923411745809558,0.9923549834330113,0.9923273657289002,0.23456790123456792,0,9,0,9,1173,9,6627,9,9,9,9,1164,6627
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,ir,ir,ir,1.0,8,skga,ad2,0.2687529513888905,0.2700059027777793,0.2675,0.0023351724798451106,0,879,4962,3593,1200,879,6926,8555,1,879,1,321,1964
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,km,ir,ir,ir,1.0,12,skga,ad2,0.37479956314234236,0.37522726698821096,0.3743718592964824,0.0010927243108982195,0,747,659,899,1194,747,6870,1558,19,747,19,447,6211
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,-1,km,ir,ir,ir,1.0,2,skga,ad2,0.19080456182538144,0.19215278098190042,0.18945634266886327,0.002052143234846963,0,984,4435,4471,1214,984,7189,8906,1,984,1,230,2754
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,km,ir,ir,ir,1.0,13,skga,ad2,0.2400105230695965,0.24071183561287876,0.2393092105263158,0.0012119795471146801,0,925,1753,3083,1216,925,6731,4836,1,925,1,291,4978
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,hdbscan,ir,ir,ir,1.0,7,skga,ad2,0.4015685038980934,0.402454995860978,0.40068201193520886,0.0024680853646938897,0,703,2084,3140,1173,703,6627,5224,1,703,1,470,4543
