data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,12,skga,ad2,0.8734258224761731,0.8733162229955593,0.8735354219567889,0.0008729350223405342,0,1072,7889,18280,8462,1072,54439,26169,2,4,2,7390,46550
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,10,skga,ad2,0.9846664293644817,0.9846372071933527,0.9846956515356112,0.0019141546823835142,0,130,782,5128,8462,130,53962,5910,10,10,130,8332,53180
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,9,skga,ad2,0.9001133548224317,0.9000238920381533,0.9002028176067112,0.0009089787216038551,0,846,5708,14705,8462,846,53814,20413,1,4,4,7616,48106
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#1.00,gs,gs,1.0,15,skga,ad2,0.9763071487550026,0.9762552018334766,0.9763590956765285,0.0022181223888677174,0,201,1249,8190,8465,201,57084,9439,2,10,2,8264,55835
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,16,skga,ad2,0.9357477100950612,0.9356172921473326,0.9358781280427904,0.0020313994879354413,0,545,4318,21810,8465,545,59359,26128,8,8,545,7920,55041
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,1,skga,ad2,0.9905584221310665,0.9905448640292485,0.9905719802328827,0.0014970296901461462,0,80,314,2006,8461,80,52902,2320,10,10,80,8381,52588
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#1.00,gs,gs,1.0,3,skga,ad2,0.9762903034873137,0.9762439763212875,0.9763366306533396,0.001980528001023967,0,201,1140,7439,8461,201,52967,8579,2,10,2,8260,51827
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,19,skga,ad2,0.9696283843333475,0.9695468160517217,0.9697099526149712,0.002719498429654061,0,258,2444,13188,8472,258,69986,15632,8,8,8,8214,67542
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.003704056807689226,0.0021433953077477598,0.00526471830763073,0.0015800271042772287,0,8443,52804,246236,8461,8443,52896,299040,1,6,1,18,92
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,ir,ir,ir,1.0,15,skga,ad2,0.9385053572294828,0.9384525308164084,0.9385581836425586,0.000869448208535329,0,521,5152,8865,8465,521,57084,14017,1,2,2,7944,51932
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,2,skga,ad2,0.9760568824153912,0.9760075850707965,0.9761061797599847,0.002073340176844847,0,203,1430,8851,8461,203,52913,10281,10,10,203,8258,51483
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,4,skga,ad2,0.9905636692827754,0.9905448542511446,0.9905824843144065,0.0019978111511919205,0,80,518,3392,8461,80,53125,3910,10,10,80,8381,52607
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,11,skga,ad2,0.8996414476136956,0.8995511919456853,0.8997317032817065,0.000912610515096341,0,850,5750,14815,8462,850,54152,20565,1,4,4,7612,48402
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,5,skga,ad2,0.7672406456336051,0.7671675658727463,0.7673137253944635,0.000320288877345053,0,1970,13533,12265,8461,1970,53240,25798,1,2,1,6491,39707
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,6,skga,ad2,0.982304058303662,0.9822716130704808,0.9823365035368447,0.0018527436396756087,0,150,875,5515,8461,150,53330,6390,10,10,150,8311,52455
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,gs,1.0,0,skga,ad2,0.0025943031591967453,1.5197967283051315e-05,0.005173408351110425,0.0025943031591967453,0,8461,51850,412762,8461,8461,52896,464612,1,10,1,0,1046
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,8,skga,ad2,0.9819529780407669,0.9819192071485514,0.9819867489329849,0.001928660537601726,0,153,815,5001,8462,153,53708,5816,10,10,153,8309,52893
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,17,skga,ad2,0.7678973692717949,0.7678050239273667,0.7679897146162207,0.0004046388097584942,0,1966,16352,15135,8467,1966,62863,31487,1,2,1,6501,46511
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,15,skga,ad2,0.8744226681254763,0.8743062001940515,0.8745391360568986,0.0009349512196092364,0,1064,8290,19272,8465,1064,57084,27562,2,4,2,7401,48794
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.00,gs,gs,0.0,6,skga,ad2,0.9933918461885879,0.9933814011886067,0.9934022911885679,0.0016262757976654705,0,56,237,2017,8461,56,53330,2254,10,10,56,8405,53093
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,gs,1.0,3,skga,ad2,0.9515154633619465,0.9514242094762649,0.9516067172476304,0.001884794175471664,0,411,2595,15957,8461,411,52967,18552,10,10,411,8050,50372
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,16,skga,ad2,0.8739570376402049,0.8738336690217772,0.8740804062586284,0.0009862156284137697,0,1068,8721,20266,8465,1068,59359,28987,2,4,2,7397,50638
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,19,skga,ad2,0.9905798034146837,0.9905571432997974,0.990602463529569,0.0024785688907052574,0,80,519,3371,8472,80,69986,3890,10,10,80,8392,69467
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.50,gs,gs,0.5,7,skga,ad2,0.9905603132630849,0.9905448654261205,0.9905757611000503,0.0017047791720150387,0,80,420,2600,8461,80,53525,3020,10,10,80,8381,53105
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,18,skga,ad2,0.9819805915966787,0.9819405544989173,0.9820206286944424,0.0022865403006324986,0,153,974,5922,8472,153,67450,6896,10,10,153,8319,66476
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,gs,1.0,18,skga,ad2,0.9941106163953569,0.9940982225735435,0.9941230102171699,0.00234142559861553,0,50,311,2219,8472,50,67450,2530,10,10,50,8422,67139
