data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_clusters,num_anonymized_entities
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.0006624490450880553,0.0006624490450880553,0.0013248980901761106,0.0,0.0014033714697536108,0.0012464247105986165,0,,6502,891,1192,6502,8,128,1192
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,gs,1.0,3,skga,0.3364947965429151,0.0038958871569018394,0.007791774313803679,0.0,0.009776021708598467,0.005807526919008877,0,,6629,4456,1177,6629,10,63,784
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.0008540578127111366,0.0008540578127111366,0.0017081156254222733,0.0,0.002164879960362138,0.0012513512904824098,0,,6502,964,1192,6502,10,103,1192
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,6,skga,0.3025469338970231,0.0028081757265770485,0.005616351453154097,0.0,0.006835573529994821,0.004397129376313423,0,,6809,3429,1201,6809,6,122,840
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,gs,1.0,7,skga,0.4496650989985675,0.005318709423568766,0.010637418847137531,0.0,0.011861761426978848,0.009413076267296237,1,,6627,5219,1173,6627,10,46,650
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,9,skga,0.3383299611033265,0.0027748570714207573,0.0055497141428415145,0.0,0.006806548037620198,0.004292880248062838,0,,6806,3300,1162,6806,6,115,771
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,gs,1.0,7,skga,0.14810811459021503,0.006690674368113559,0.013381348736227119,0.0,0.017920609336309585,0.008842088136144843,0,,6627,9957,1173,6627,10,59,1006
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,gs,1.0,13,skga,0.10093304325008656,0.004312004182245224,0.008624008364490447,0.0,0.01116114226823885,0.00608687446074196,0,,6731,7502,1216,6731,10,68,1098
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,10,skga,0.3225355444047491,0.002078706563582765,0.00415741312716553,0.0,0.005225088117920896,0.0030897381364101586,0,,6544,2152,1174,6544,4,179,797
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,6,skga,0.4024534439451997,0.00464158970622031,0.00928317941244062,0.0,0.011835952702382746,0.006730406122498475,0,,6809,5154,1201,6809,10,53,721
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.0005285516418179342,0.0005285516418179342,0.0010571032836358685,0.0,0.0011675994324579957,0.0009466071348137486,0,,6502,680,1192,6502,6,180,1192
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,3,skga,0.2718892046582437,0.002344113949653972,0.004688227899307944,0.0,0.00573763924976482,0.0036388165488510245,0,,6629,2842,1177,6629,6,127,859
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,10,skga,0.1506802701345739,0.0009004380140178125,0.001800876028035625,0.0,0.002177267652852541,0.0014244844032186912,0,,6544,995,1174,6544,2,469,998
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,10,skga,0.4558910914795005,0.0034573188719712305,0.006914637743942461,0.0,0.009070686507187693,0.004758588980697198,0,,6544,3066,1174,6544,8,68,641
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,12,skga,0.0017283514164906063,0.0017283514164906063,0.0034567028329812125,0.0,0.004360860696559273,0.0025525449694031293,0,,6870,2713,1194,6870,10,89,1194
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,gs,1.0,6,skga,0.004920788324467324,0.004920788324467324,0.009841576648934649,0.0,0.01309136640920241,0.006591786888666811,0,,6809,8536,1201,6809,10,73,1201
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.12344601966622247,0.0017480936911764289,0.0034961873823528577,0.0,0.004086934482321639,0.0029054402823840758,0,,7189,2591,1214,7189,4,239,1066
