data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,calgo,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,5,ctkga,0.0016886594689998313,0.0016886594689998313,0.0033773189379996626,0.0,0.003993577706330376,0.002761060169668957,0,1059,9825,5285,1251,9825,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,3,km,msa,0.0,7,ctkga,0.0018187743589482901,0.0018187743589482901,0.0036375487178965803,0.0,0.0044730921964010175,0.0028020052393921417,0,723,10933,2498,1367,10933,3
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,3,km,msa,0.25,9,ctkga,0.003375478797839156,0.003375478797839156,0.006750957595678312,0.0,0.008018047416202642,0.005483867775153985,0,924,10492,7913,1329,10492,3
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,3,km,msa,0.75,1,ctkga,0.002862381310955401,0.002862381310955401,0.005724762621910802,0.0,0.006979524739176177,0.004470000504645429,0,1262,10299,7884,1287,10299,4
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,6,ctkga,0.0006920134209487247,0.0006920134209487247,0.0013840268418974493,0.0,0.0015202887529214765,0.0012477649308734126,0,778,9938,804,1301,9938,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,7,ctkga,0.0007031928724333702,0.0007031928724333702,0.0014063857448667403,0.0,0.0015715005164814587,0.0012412709732520235,0,825,10933,938,1367,10933,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,8,ctkga,0.0008191416277976664,0.0008191416277976664,0.0016382832555953328,0.0,0.0018346169143435697,0.00144194959684709,0,740,10141,968,1317,10141,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,9,ctkga,0.0008395242283901563,0.0008395242283901563,0.0016790484567803126,0.0,0.0019514125132031178,0.001406684400357497,0,753,10492,1004,1329,10492,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,0,ctkga,0.0,0.0,0.0,0.0,0.0,0.0,0,1288,9687,0,1288,9687,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,1,ctkga,0.0005507485346195024,0.0005507485346195024,0.0011014970692390048,0.0,0.0012693399790173999,0.0009336541594606126,0,917,10299,661,1287,10299,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,2,ctkga,0.000622538828784728,0.000622538828784728,0.001245077657569456,0.0,0.0013737307276379784,0.0011164245875009298,0,854,9454,778,1271,9454,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,3,ctkga,0.0006680400092619156,0.0006680400092619156,0.0013360800185238312,0.0,0.0014697053518072482,0.0012024546852404117,0,816,9880,749,1262,9880,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,4,ctkga,0.0007669333982543887,0.0007669333982543887,0.0015338667965087774,0.0,0.0017298045320878709,0.0013379290609296965,0,785,10257,915,1269,10257,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,5,ctkga,0.0008219785203355936,0.0008219785203355936,0.0016439570406711873,0.0,0.001916709230514349,0.0013712048508280291,0,748,9825,849,1251,9825,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,6,ctkga,0.00068832005070324,0.00068832005070324,0.00137664010140648,0.0,0.001518737273622181,0.0012345429291907683,0,782,9938,821,1301,9938,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,8,ctkga,0.0008052298324935026,0.0008052298324935026,0.0016104596649870052,0.0,0.0017947125008628455,0.0014262068291111569,0,746,10141,938,1317,10141,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,9,ctkga,0.0008131293651144934,0.0008131293651144934,0.0016262587302289869,0.0,0.0018656572235114226,0.0013868602369465437,0,757,10492,991,1329,10492,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,0,ctkga,0.0,0.0,0.0,0.0,0.0,0.0,0,989,9687,0,1288,9687,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,1,ctkga,0.0007283259547752306,0.0007283259547752306,0.0014566519095504612,0.0,0.0016687390134595115,0.0012445648056414087,0,1051,10299,1231,1287,10299,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,2,ctkga,0.0008654497938362865,0.0008654497938362865,0.001730899587672573,0.0,0.0020090672852076785,0.0014527318901374688,0,999,9454,1376,1271,9454,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,3,ctkga,0.0010902962790495512,0.0010902962790495512,0.0021805925580991024,0.0,0.0024857179524240105,0.0018754671637741898,0,965,9880,1664,1262,9880,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,4,ctkga,0.0012619308243216117,0.0012619308243216117,0.0025238616486432234,0.0,0.002954649763160397,0.0020930735341260576,0,963,10257,2164,1269,10257,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,5,ctkga,0.001215877325506863,0.001215877325506863,0.002431754651013726,0.0,0.002875906171614433,0.0019876031304130203,0,908,9825,1757,1251,9825,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,6,ctkga,0.001131672378486572,0.001131672378486572,0.002263344756973144,0.0,0.002553547107584491,0.0019731424063617934,0,943,9938,1895,1301,9938,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,7,ctkga,0.0011328406433694356,0.0011328406433694356,0.0022656812867388712,0.0,0.0026509877298883495,0.0018803748435893936,0,974,10933,1993,1367,10933,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,8,ctkga,0.0011908329668201209,0.0011908329668201209,0.0023816659336402418,0.0,0.0027327876268394436,0.0020305442404410386,0,956,10141,2229,1317,10141,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,0,ctkga,0.00023585455777629683,0.00023585455777629683,0.00047170911555259365,0.0,0.0005402069407470583,0.0004032112903581293,0,1272,9687,938,1288,9687,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,1,ctkga,0.0011747880038441192,0.0011747880038441192,0.0023495760076882384,0.0,0.002817017391134823,0.0018821346242416587,0,1262,10299,4076,1287,10299,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,2,ctkga,0.0011949238884874321,0.0011949238884874321,0.0023898477769748643,0.0,0.0027748013518062308,0.0020048942021434943,0,1177,9454,3940,1271,9454,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,3,ctkga,0.001505795120815658,0.001505795120815658,0.003011590241631316,0.0,0.0034167999407680137,0.002606380542494612,0,1122,9880,4412,1262,9880,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,4,ctkga,0.0016204678164240996,0.0016204678164240996,0.003240935632848199,0.0,0.003867270087936597,0.0026146011777598006,0,1113,10257,5161,1269,10257,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,5,ctkga,0.0016900132387347964,0.0016900132387347964,0.003380026477469593,0.0,0.00401424072231913,0.0027458122326200593,0,1053,9825,4853,1251,9825,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,6,ctkga,0.001349850907662632,0.001349850907662632,0.002699701815325264,0.0,0.0030856082705810993,0.0023137953600694283,0,1068,9938,4344,1301,9938,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,7,ctkga,0.0014600213286980566,0.0014600213286980566,0.002920042657396113,0.0,0.0033722305292719365,0.0024678547855202845,0,1145,10933,5006,1367,10933,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,8,ctkga,0.0014993213657188732,0.0014993213657188732,0.0029986427314377465,0.0,0.003440689616889851,0.002556595845985644,0,1082,10141,5070,1317,10141,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.25,9,ctkga,0.0014138621823839477,0.0014138621823839477,0.0028277243647678954,0.0,0.003245299121172843,0.0024101496083629237,0,1084,10492,4712,1329,10492,2
