data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer_name,max_dist,enforcer,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_big_clusters,num_clusters,num_entities_in_big_clusters,num_anonymized_entities
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,1,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.008951504979784764,0.008951504979784764,0.01790300995956953,0.0,0.020546378033517297,0.015259641885620425,0,,23467,30807,1549,23467,10,0,92,0,1549
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,1.0,gs,0,skga,0.003421017071303084,0.003421017071303084,0.006842034142606168,0.0,0.0073627314084950945,0.006321336876717223,0,,22393,10749,1490,22393,10,0,105,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,1.0,gs,1,skga,0.004212405512875898,0.004212405512875898,0.008424811025751796,0.0,0.00953446297638448,0.0073151590751191296,0,,23467,13712,1549,23467,10,0,109,0,1549
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.011514233593081322,0.011514233593081322,0.023028467186162645,0.0,0.027564524120534957,0.018492410251790378,0,,22393,36702,1490,22393,10,0,84,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.2858224823612228,0.014905632393173787,0.029811264786347574,0.0,0.03652429654728076,0.023098233025414246,0,,23467,37181,1549,23467,10,0,70,0,1123
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,1.0,gs,0,skga,0.004078870321156693,0.004078870321156693,0.008157740642313387,0.0,0.008915364172784896,0.007400117111841733,0,,22393,11651,1490,22393,10,0,99,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,1.0,gs,1,skga,0.19440133183240324,0.007261466196016421,0.014522932392032843,0.0,0.016128659493922316,0.012917205290142682,0,,23467,21696,1549,23467,10,0,85,0,1257
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.011478086572676897,0.011478086572676897,0.022956173145353795,0.0,0.027454168731138276,0.018458177559569234,0,,22393,36608,1490,22393,10,0,84,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.30783151711614704,0.01545548210552048,0.03091096421104096,0.0,0.03833807290583011,0.023483855516251657,0,,23467,37895,1549,23467,10,0,70,0,1089
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,1.0,gs,0,skga,0.0033780009909463466,0.0033780009909463466,0.006756001981892693,0.0,0.0067677131660736035,0.006744290797711773,0,,22393,10348,1490,22393,10,0,103,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,1.0,gs,1,skga,0.16432257467592953,0.0065507814067650395,0.013101562813530079,0.0,0.01493449837911897,0.011268627247940895,0,,23467,19726,1549,23467,10,0,87,0,1303
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.0065458763118778065,0.0065458763118778065,0.013091752623755613,0.0,0.01426151975136252,0.011921985496148722,0,,22393,21946,1490,22393,10,0,85,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.2904438441094258,0.010708833956346154,0.02141766791269231,0.0,0.024967183613132,0.017868152212251433,0,,23467,27895,1549,23467,10,0,71,0,1111
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,4,km,gs#1.00,gs,1.0,gs,0,skga,0.0039319174811945174,0.0039319174811945174,0.007863834962389035,0.0,0.008761767487950886,0.006965902436827152,0,,22393,11403,1490,22393,10,0,100,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,4,km,gs#1.00,gs,1.0,gs,1,skga,0.18110874339053795,0.007462788350503391,0.014925576701006782,0.0,0.016934040943169797,0.012917112458842998,0,,23467,21863,1549,23467,10,0,86,0,1278
