data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_big_clusters,num_clusters,num_entities_in_big_clusters,num_anonymized_entities
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,6,-1,1,-1,hdbscan,ir,ir,ir,1.0,17,skga,0.5060808315564476,0.004117376981892616,0.008234753963785231,0.0,0.010115348386859105,0.00635415954071135,0,,7388,3997,1238,7388,6,9,66,179,614
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,8,skga,0.5409123263888889,0.007364733213429256,0.014729466426858512,0.0,0.018493705035971225,0.010965227817745808,1,,6926,5635,1200,6926,10,0,40,0,556
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,2,km,ir,ir,ir,1.0,14,skga,0.3423406324288672,6.438164835198136e-05,0.00012876329670396272,0.0,0.00011916916871425552,0.0001383574246936696,0,,6728,59,1227,6728,11,0,33,0,807
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,3,hdbscan,ir,ir,ir,1.0,17,skga,0.23511559109617103,0.007414152806142272,0.014828305612284544,0.0,0.019960171101695713,0.009696440122873485,0,,7388,10863,1238,7388,10,0,46,0,954
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,4,skga,0.42252812051691424,0.004242037724180579,0.008484075448361158,0.0,0.01010433498912761,0.006863815907594713,0,,6461,4797,1176,6461,10,0,50,0,682
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,0,skga,0.1556991027994234,0.021906527889426815,0.04381305577885363,0.0,0.043829803144454095,0.04379630841325323,47,,6502,469,1192,6502,10,0,91,0,1077
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,17,skga,0.6140452381635918,0.0045583434302638665,0.009116686860527733,0.0,0.01109147819063005,0.007141895530425419,0,,7388,3753,1238,7388,10,0,39,0,480
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,ir,ir,ir,1.0,6,skga,0.4081079048059451,0.005786844296419635,0.01157368859283927,0.0,0.014565950286183398,0.008581426899495126,0,,6809,6609,1201,6809,10,6,45,229,715
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,16,skga,0.6113541386723998,0.003890859622537551,0.007781719245075102,0.0,0.008704711392753797,0.006858727097396301,0,,6609,3458,1220,6609,10,0,36,0,476
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,gs,1.0,1,skga,0.14917338732228946,0.0033412059132793266,0.006682411826558653,0.0,0.008510248002646763,0.0048545756504705445,0,,6779,4969,1196,6779,10,0,72,0,1021
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,ir,ir,ir,1.0,18,skga,0.6795733020339583,0.004100941246247401,0.008201882492494803,0.0,0.00951808354626814,0.006885681438721516,0,,7194,2903,1237,7194,10,0,29,0,398
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,1,hdbscan,ir,ir,ir,1.0,18,skga,0.1880501434808835,0.00556240345133947,0.01112480690267894,0.0,0.014247980982415065,0.008001632822942775,0,,7194,9516,1237,7194,11,0,29,0,1010
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,4,km,ir,ir,ir,1.0,18,skga,0.3486624680019005,0.0028409318296421355,0.005681863659284271,0.0,0.007355707276467327,0.004008020042101242,0,,7194,3374,1237,7194,10,0,47,0,808
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,ir,ir,ir,1.0,0,skga,0.0017436573802981842,0.0017436573802981842,0.0034873147605963685,0.0,0.0033683730462591814,0.003606256474933557,0,,6502,4366,1192,6502,2,75,110,1073,1192
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.2611874370672739,0.004530020643363489,0.009060041286726979,0.0,0.010941531192689083,0.0071785513807649335,0,,7189,6758,1214,7189,10,0,61,0,901
