Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist
38,38,12.304296255111694,913.8740434646606,5.362621545791626,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
39,39,13.804024696350098,701.1987814903259,5.224532604217528,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
40,40,7.262899875640869,749.1170220375061,4.3870296478271475,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
41,41,7.506249666213988,808.053674697876,6.953746557235718,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
42,42,7.9109458923339835,854.8066804409027,4.500334024429321,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
43,43,7.978356599807738,774.3291919231415,4.574309587478638,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
44,44,8.050861835479736,1039.351375579834,4.6786015033721915,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
45,45,8.372341156005861,990.4672422409058,4.895968675613403,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
46,46,8.91820478439331,1447.4436037540436,4.804640769958496,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
47,47,8.857964992523193,913.2733175754547,5.006516933441162,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
48,48,9.124462366104128,940.0720801353456,5.088688373565674,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
49,49,9.397542953491213,886.1094949245453,5.297867298126222,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
0,0,6.224946975708008,2.934042930603028,1.244413137435913,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
1,1,3.95843243598938,5.276443719863892,1.6007988452911377,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
2,2,4.416620016098023,28.45920205116272,1.603691816329956,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
3,3,4.173211336135863,42.734437465667725,1.3828067779541016,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
4,4,4.01230788230896,58.15749216079712,2.1000375747680664,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
5,5,4.067198991775514,77.95305371284483,1.9243183135986328,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
6,6,4.403932332992554,72.66196203231813,2.1397058963775635,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
7,7,4.208256006240846,80.10780429840088,1.7664878368377686,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
8,8,4.060569763183594,78.77545523643494,1.9427738189697263,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
9,9,4.7670979499816895,108.55735301971436,2.52396821975708,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
10,10,4.8677189350128165,115.51783967018127,2.969543933868408,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
11,11,4.7778754234313965,126.9110074043274,2.771784543991089,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
12,12,5.292848825454712,146.5407953262329,2.8462040424346924,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
13,13,5.799467086791992,140.70896029472348,3.0928070545196533,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
14,14,5.146790266036987,169.86776185035706,3.5598957538604736,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
15,15,5.93785834312439,172.14090061187744,3.0637850761413574,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
16,16,5.9636573791503915,188.7028088569641,3.609825134277344,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
17,17,5.460707426071167,180.40214705467224,3.240579843521118,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
18,18,5.60122275352478,170.0167894363403,3.5839447975158687,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
19,19,5.932372093200684,155.28053379058838,3.3468949794769287,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
20,20,5.551193475723267,162.07380080223083,2.910226583480835,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
21,21,6.517564296722412,190.65707731246948,3.037696123123169,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
22,22,5.3847477436065665,192.58947229385376,3.7897548675537114,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
23,23,6.7441039085388175,196.23551988601685,3.9753398895263667,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
24,24,7.13866400718689,206.06128072738647,4.377676725387573,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
25,25,5.830880403518678,203.7072112560272,4.196040391921997,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
26,26,7.745914220809936,241.25138354301453,4.5483717918396,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
27,27,6.85163140296936,256.8869111537933,4.448060989379883,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
28,28,8.041766881942749,260.8658530712128,3.957144021987915,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
29,29,7.251100063323975,258.1435925960541,4.745836019515991,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
30,30,6.765766859054565,283.9117019176483,3.8302271366119385,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
31,31,6.430412530899048,315.2083148956299,4.598200798034668,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
32,32,7.412556409835815,304.0133140087128,4.834818124771118,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
33,33,8.304780006408691,306.94319891929626,4.9529974460601816,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
34,34,7.494908571243286,305.97638440132135,5.630031108856201,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
35,35,7.88701057434082,289.38628458976746,4.395465135574342,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
36,36,8.639627933502197,285.60883975028986,5.120917081832887,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
37,37,8.706894159317018,285.34895157814026,4.780032396316528,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
