Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist,algo,galgo
0,0,5.73697304725647,187.938688993454,1.3428726196289062,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,8,km,1.0,ctkga,ad2
0,3,7.525105953216553,425.4461686611176,1.3487095832824707,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,4,km,1.0,ctkga,ad2
0,0,5.605623722076416,190.28689241409302,1.348257541656494,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,2,km,1.0,ctkga,ad2
0,1,6.91092324256897,293.8188259601593,1.3566341400146484,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,4,km,1.0,ctkga,ad2
0,0,5.399749279022217,193.1481795310974,1.3332500457763672,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,4,km,1.0,ctkga,ad2
0,3,8.748483657836914,396.91145706176763,1.3547325134277344,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0,ctkga,ad2
0,1,6.213100910186768,306.94650149345404,1.2959017753601074,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0,ctkga,ad2
0,2,7.130776643753053,380.5890591144562,1.341984510421753,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0,ctkga,ad2
0,3,4.342947721481323,564.0228893756866,1.5862526893615725,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,8,km,1.0,ctkga,ad2
0,1,6.655982255935669,291.03486561775213,1.309969425201416,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,8,km,1.0,ctkga,ad2
0,0,5.307623624801637,191.34916162490845,1.3161451816558838,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0,ctkga,ad2
0,0,5.800730228424072,193.32224202156067,1.3623089790344238,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,4,km,1.0,ctkga,ad2
0,2,6.911736011505128,356.6484875679016,1.3341829776763916,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,2,km,1.0,ctkga,ad2
0,2,7.141557693481445,347.5500707626343,1.3457920551300049,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,6,km,1.0,ctkga,ad2
0,1,6.7972586154937735,303.7405338287353,1.3491597175598145,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,4,km,1.0,ctkga,ad2
0,0,5.397421836853027,186.56000113487244,1.3807415962219238,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,6,km,1.0,ctkga,ad2
0,2,6.943593978881836,370.8019394874573,1.2990176677703855,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,1,km,1.0,ctkga,ad2
